2016-10-27 10:22:59 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:22:59 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:22:59 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:22:59 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  WorkerImpl:107 - Creating new WorkerThread
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-1
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-2
2016-10-27 10:23:00 INFO  DaoHandlerCallable:37 - Callable adding Article to DB pool-1-thread-3
